baseline,seed,round,split,accuracy,precision,recall,f1,roc_auc,loss,runtime_s
fedprox,123,9,val,0.5418486496122649,0.0,0.0,0.0,0.5970002075594233,0.22366790603227035,2044.3580561999988
fedprox,123,10,val,0.5418486496122649,0.0,0.0,0.0,0.6041112437562387,0.2116586978247017,2265.7543198999992
fedprox_dp,123,1,val,0.01853997682502897,0.06734981226533167,0.3237653547254951,0.11150442477876107,0.5051868240357084,0.6701823425692494,215.70638209999743
fedprox_dp,123,2,val,0.2255994295391746,0.11315246030050559,0.19917272499373276,0.14431678852004903,0.5211889643127102,0.6465362254784212,414.3159237
fedprox_dp,123,3,val,0.39379623852393264,0.173043974871502,0.11393833040862371,0.13740458015267176,0.5391440125616357,0.6151907566407857,646.2562028999964
fedprox_dp,123,4,val,0.4672430697923166,0.20361121782558586,0.06643268989721735,0.1001795671486627,0.5435590360981719,0.5639622803890022,1684.273425499996
fedprox_dp,123,5,val,0.5176040645333809,0.20433017591339647,0.01892704938581098,0.03464494665595962,0.5515960571440124,0.4898070873599159,1885.1558063999983
fedprox_dp,123,6,val,0.541135573580533,0.13333333333333333,0.000250689395838556,0.0005004378831477543,0.5544900847259628,0.3928823531768424,2085.699939899998
fedprox_dp,123,7,val,0.5417595151082985,0.3333333333333333,0.000125344697919278,0.00025059516351334414,0.5636377944139164,0.3035677660992783,2287.807854999999
fedprox_dp,123,8,val,0.5418486496122649,0.0,0.0,0.0,0.5720399744446392,0.2545138984740615,2491.1597209999964
fedprox_dp,123,9,val,0.5418486496122649,0.0,0.0,0.0,0.5767275613667581,0.22350586975882086,2697.389670299999
fedprox_dp,123,10,val,0.5418486496122649,0.0,0.0,0.0,0.5916794944206669,0.2152840300713092,2905.4058686999997
centralized,2026,1,val,0.3593011854889028,0.15293602103418055,0.13123589872148408,0.1412574203993524,0.5447791430967737,0.6131683636640353,192.53306300000258
centralized,2026,2,val,0.5410464390765666,0.14285714285714285,0.000501378791677112,0.0009992505620784412,0.5712795797071398,0.39055481704227724,387.2582828000013
centralized,2026,3,val,0.5418486496122649,0.0,0.0,0.0,0.5902400333236456,0.22350725253318568,579.076447200001
centralized,2026,4,val,0.5417595151082985,0.3333333333333333,0.000125344697919278,0.00025059516351334414,0.6070047913378921,0.203981617655715,766.248462399999
centralized,2026,5,val,0.5416703806043319,0.3333333333333333,0.000501378791677112,0.0010012515644555694,0.6136623911864113,0.19930983321962537,960.9602950000044
centralized,2026,6,val,0.541313842588466,0.3472222222222222,0.0031336174479819506,0.006211180124223603,0.6215004294866076,0.19842595865179463,1155.233572199999
centralized,2026,7,val,0.5404224975488011,0.3191489361702128,0.005640511406367511,0.011085109003571868,0.6309818187375748,0.19787074879312572,1350.2678663000042
centralized,2026,8,val,0.5389963454853374,0.3463035019455253,0.011155678114815742,0.021615057680631447,0.6307278433661182,0.19621034025646528,1540.512381200002
centralized,2026,9,val,0.5368571173901417,0.34,0.01704687891702181,0.03246598233468608,0.6344556683041314,0.1975345605568767,1728.7781950999997
centralized,2026,10,val,0.5356092343346109,0.34647302904564314,0.020932564552519427,0.03947990543735225,0.6380983317270893,0.19662733373768201,1919.4776966999998
fedavg,2026,1,val,0.02005526339245922,0.06521972708713872,0.30433692654800704,0.10741936911029508,0.5073075698604753,0.6702234414089426,186.59808420000627
fedavg,2026,2,val,0.21401194402353152,0.1022709717287193,0.16595638004512409,0.12655324029822215,0.528200621596251,0.6438414526130227,383.2421023000061
fedavg,2026,3,val,0.4115340048132632,0.1451409339503576,0.08648784156430182,0.10838831291234684,0.5406980679604608,0.6119055676422014,581.8399602000063
fedavg,2026,4,val,0.5095819591763971,0.18472330475448168,0.02970669340686889,0.05118237771298996,0.5529957402613996,0.56434141639635,770.8968567000047
fedavg,2026,5,val,0.5367679828861752,0.13253012048192772,0.0027575833542241163,0.005402750491159135,0.5622606041219258,0.4835831443992929,960.9795531000054
fedavg,2026,6,val,0.541492111596399,0.18181818181818182,0.000250689395838556,0.0005006884466140943,0.5683624699924936,0.3773603603577208,1152.32316
